,Domain,Type,TLD Manager
1183,.spiegel,generic,Not assigned
1184,.sport,generic,Global Association of International Sports Federations (GAISF)
1185,.spot,generic,"Amazon Registry Services, Inc."
1186,.spreadbetting,generic,Not assigned
1187,.sr,country-code,Telesur
1188,.srl,generic,InterNetX Corp.
1189,.srt,generic,Not assigned
1190,.ss,country-code,National Communication Authority (NCA)
1191,.st,country-code,Tecnisys
1192,.stada,generic,STADA Arzneimittel AG
1193,.staples,generic,"Staples, Inc."
1194,.star,generic,Star India Private Limited
1195,.starhub,generic,Not assigned
1196,.statebank,generic,STATE BANK OF INDIA
1197,.statefarm,generic,State Farm Mutual Automobile Insurance Company
1198,.statoil,generic,Not assigned
1199,.stc,generic,Saudi Telecom Company
1200,.stcgroup,generic,Saudi Telecom Company
1201,.stockholm,generic,Stockholms kommun
1202,.storage,generic,XYZ.COM LLC
1203,.store,generic,Radix FZC
1204,.stream,generic,dot Stream Limited
1205,.studio,generic,"Dog Beach, LLC"
1206,.study,generic,"Registry Services, LLC"
1207,.style,generic,"Binky Moon, LLC"
1208,.su,country-code,Russian Institute for Development of Public Networks (ROSNIIROS)
1209,.sucks,generic,Vox Populi Registry Ltd.
1210,.supplies,generic,"Binky Moon, LLC"
1211,.supply,generic,"Binky Moon, LLC"
1212,.support,generic,"Binky Moon, LLC"
1213,.surf,generic,"Registry Services, LLC"
1214,.surgery,generic,"Binky Moon, LLC"
1215,.suzuki,generic,SUZUKI MOTOR CORPORATION
1216,.sv,country-code,SVNet
1217,.swatch,generic,The Swatch Group Ltd
1218,.swiftcover,generic,Not assigned
1219,.swiss,generic,Swiss Confederation
1220,.sx,country-code,SX Registry SA B.V.
1221,.sy,country-code,National Agency for Network Services (NANS)
1222,.sydney,generic,"State of New South Wales, Department of Premier and Cabinet"
1223,.symantec,generic,Not assigned
1224,.systems,generic,"Binky Moon, LLC"
1225,.sz,country-code,University of Swaziland Department of Computer Science
1226,.tab,generic,Tabcorp Holdings Limited
1227,.taipei,generic,Taipei City Government
1228,.talk,generic,"Amazon Registry Services, Inc."
1229,.taobao,generic,Alibaba Group Holding Limited
1230,.target,generic,"Target Domain Holdings, LLC"
1231,.tatamotors,generic,Tata Motors Ltd
1232,.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic"""
1233,.tattoo,generic,"Top Level Design, LLC"
1234,.tax,generic,"Binky Moon, LLC"
1235,.taxi,generic,"Binky Moon, LLC"
1236,.tc,country-code,Melrex TC
1237,.tci,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1238,.td,country-code,l'Agence de Développement des Technologies de l'Information et de la Communication (ADETIC)
1239,.tdk,generic,TDK Corporation
1240,.team,generic,"Binky Moon, LLC"
1241,.tech,generic,Radix FZC
1242,.technology,generic,"Binky Moon, LLC"
1243,.tel,sponsored,Telnames Ltd.
1244,.telecity,generic,Not assigned
1245,.telefonica,generic,Not assigned
1246,.temasek,generic,Temasek Holdings (Private) Limited
1247,.tennis,generic,"Binky Moon, LLC"
1248,.teva,generic,Teva Pharmaceutical Industries Limited
1249,.tf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1250,.tg,country-code,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP)
1251,.th,country-code,Thai Network Information Center Foundation
1252,.thd,generic,"Home Depot Product Authority, LLC"
1253,.theater,generic,"Binky Moon, LLC"
1254,.theatre,generic,XYZ.COM LLC
1255,.tiaa,generic,Teachers Insurance and Annuity Association of America
1256,.tickets,generic,XYZ.COM LLC
1257,.tienda,generic,"Binky Moon, LLC"
1258,.tiffany,generic,Tiffany and Company
1259,.tips,generic,"Binky Moon, LLC"
1260,.tires,generic,"Binky Moon, LLC"
1261,.tirol,generic,punkt Tirol GmbH
1262,.tj,country-code,Information Technology Center
1263,.tjmaxx,generic,"The TJX Companies, Inc."
1264,.tjx,generic,"The TJX Companies, Inc."
1265,.tk,country-code,Telecommunication Tokelau Corporation (Teletok)
1266,.tkmaxx,generic,"The TJX Companies, Inc."
1267,.tl,country-code,Autoridade Nacional de Comunicações
1268,.tm,country-code,TM Domain Registry Ltd
1269,.tmall,generic,Alibaba Group Holding Limited
1270,.tn,country-code,Agence Tunisienne d'Internet
1271,.to,country-code,Government of the Kingdom of Tonga H.R.H. Crown Prince Tupouto'a c/o Consulate of Tonga
1272,.today,generic,"Binky Moon, LLC"
1273,.tokyo,generic,"GMO Registry, Inc."
1274,.tools,generic,"Binky Moon, LLC"
1275,.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd."
1276,.toray,generic,"Toray Industries, Inc."
1277,.toshiba,generic,TOSHIBA Corporation
1278,.total,generic,Total SA
1279,.tours,generic,"Binky Moon, LLC"
1280,.town,generic,"Binky Moon, LLC"
1281,.toyota,generic,TOYOTA MOTOR CORPORATION
1282,.toys,generic,"Binky Moon, LLC"
1283,.tp,country-code,Not assigned
1284,.tr,country-code,Bilgi Teknolojileri ve İletişim Kurumu (BTK)
1285,.trade,generic,Elite Registry Limited
1286,.trading,generic,"Dog Beach, LLC"
1287,.training,generic,"Binky Moon, LLC"
1288,.travel,sponsored,"Dog	Beach, LLC"
1289,.travelchannel,generic,"Lifestyle Domain Holdings, Inc."
1290,.travelers,generic,"Travelers TLD, LLC"
1291,.travelersinsurance,generic,"Travelers TLD, LLC"
1292,.trust,generic,Internet Naming Co.
1293,.trv,generic,"Travelers TLD, LLC"
1294,.tt,country-code,University of the West Indies Faculty of Engineering
1295,.tube,generic,Latin American Telecom LLC
1296,.tui,generic,TUI AG
1297,.tunes,generic,"Amazon Registry Services, Inc."
1298,.tushu,generic,"Amazon Registry Services, Inc."
1299,.tv,country-code,"Ministry of Justice, Communications and Foreign Affairs"
1300,.tvs,generic,T V SUNDRAM IYENGAR & SONS PRIVATE LIMITED
1301,.tw,country-code,Taiwan Network Information Center (TWNIC)
1302,.tz,country-code,Tanzania Communications Regulatory Authority
1303,.ua,country-code,Hostmaster Ltd.
1304,.ubank,generic,National Australia Bank Limited
1305,.ubs,generic,UBS AG
1306,.uconnect,generic,Not assigned
1307,.ug,country-code,Uganda Online Ltd.
1308,.uk,country-code,Nominet UK
1309,.um,country-code,Not assigned
1310,.unicom,generic,China United Network Communications Corporation Limited
1311,.university,generic,"Binky Moon, LLC"
1312,.uno,generic,Radix FZC
1313,.uol,generic,UBN INTERNET LTDA.
1314,.ups,generic,"UPS Market Driver, Inc."
1315,.us,country-code,"Registry Services, LLC"
1316,.uy,country-code,SeCIU - Universidad de la Republica
1317,.uz,country-code,Single Integrator for Creation and Support of State Information Systems UZINFOCOM
1318,.va,country-code,Holy See - Vatican City State
1319,.vacations,generic,"Binky Moon, LLC"
1320,.vana,generic,"Lifestyle Domain Holdings, Inc."
1321,.vanguard,generic,"The Vanguard Group, Inc."
1322,.vc,country-code,"Ministry of Telecommunications, Science, Technology and Industry"
1323,.ve,country-code,Comisión Nacional de Telecomunicaciones (CONATEL)
1324,.vegas,generic,"Dot Vegas, Inc."
1325,.ventures,generic,"Binky Moon, LLC"
1326,.verisign,generic,"VeriSign, Inc."
1327,.versicherung,generic,tldbox GmbH
1328,.vet,generic,"Dog Beach, LLC"
1329,.vg,country-code,Telecommunications Regulatory Commission of the Virgin Islands
1330,.vi,country-code,"Virgin Islands Public Telecommunications System, Inc."
1331,.viajes,generic,"Binky Moon, LLC"
1332,.video,generic,"Dog Beach, LLC"
1333,.vig,generic,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe
1334,.viking,generic,Viking River Cruises (Bermuda) Ltd.
1335,.villas,generic,"Binky Moon, LLC"
1336,.vin,generic,"Binky Moon, LLC"
1337,.vip,generic,"Registry Services, LLC"
1338,.virgin,generic,Virgin Enterprises Limited
1339,.visa,generic,Visa Worldwide Pte. Limited
1340,.vision,generic,"Binky Moon, LLC"
1341,.vista,generic,Not assigned
1342,.vistaprint,generic,Not assigned
1343,.viva,generic,Saudi Telecom Company
1344,.vivo,generic,Telefonica Brasil S.A.
1345,.vlaanderen,generic,DNS.be vzw
1346,.vn,country-code,Viet Nam Internet Network Information Center (VNNIC)
1347,.vodka,generic,"Registry Services, LLC"
1348,.volkswagen,generic,Volkswagen Group of America Inc.
1349,.volvo,generic,Volvo Holding Sverige Aktiebolag
1350,.vote,generic,Monolith Registry LLC
1351,.voting,generic,Valuetainment Corp.
1352,.voto,generic,Monolith Registry LLC
1353,.voyage,generic,"Binky Moon, LLC"
1354,.vu,country-code,Telecommunications Radiocommunications and Broadcasting Regulator (TRBR)
1355,.vuelos,generic,Travel Reservations SRL
1356,.wales,generic,Nominet UK
1357,.walmart,generic,"Wal-Mart Stores, Inc."
1358,.walter,generic,Sandvik AB
1359,.wang,generic,Zodiac Wang Limited
1360,.wanggou,generic,"Amazon Registry Services, Inc."
1361,.warman,generic,Not assigned
1362,.watch,generic,"Binky Moon, LLC"
1363,.watches,generic,Afilias Limited
1364,.weather,generic,International Business Machines Corporation
1365,.weatherchannel,generic,International Business Machines Corporation
1366,.webcam,generic,dot Webcam Limited
1367,.weber,generic,Saint-Gobain Weber SA
1368,.website,generic,Radix FZC
1369,.wed,generic,Emergency Back-End Registry Operator Program - ICANN
1370,.wedding,generic,"Registry Services, LLC"
1371,.weibo,generic,Sina Corporation
1372,.weir,generic,Weir Group IP Limited
1373,.wf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1374,.whoswho,generic,Who's Who Registry
1375,.wien,generic,punkt.wien GmbH
1376,.wiki,generic,"Top Level Design, LLC"
1377,.williamhill,generic,William Hill Organization Limited
1378,.win,generic,First Registry Limited
1379,.windows,generic,Microsoft Corporation
1380,.wine,generic,"Binky Moon, LLC"
1381,.winners,generic,"The TJX Companies, Inc."
1382,.wme,generic,"William Morris Endeavor Entertainment, LLC"
1383,.wolterskluwer,generic,Wolters Kluwer N.V.
1384,.woodside,generic,Woodside Petroleum Limited
1385,.work,generic,"Registry Services, LLC"
1386,.works,generic,"Binky Moon, LLC"
1387,.world,generic,"Binky Moon, LLC"
1388,.wow,generic,"Amazon Registry Services, Inc."
1389,.ws,country-code,Government of Samoa Ministry of Foreign Affairs & Trade
1390,.wtc,generic,"World Trade Centers Association, Inc."
1391,.wtf,generic,"Binky Moon, LLC"
1392,.xbox,generic,Microsoft Corporation
1393,.xerox,generic,Xerox DNHC LLC
1394,.xfinity,generic,"Comcast IP Holdings I, LLC"
1395,.xihuan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1396,.xin,generic,Elegant Leader Limited
1397,.测试,test,Not assigned
1398,.कॉम,generic,VeriSign Sarl
1399,.परीक्षा,test,Not assigned
1400,.セール,generic,"Amazon Registry Services, Inc."
1401,.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
1402,.ಭಾರತ,country-code,National Internet eXchange of India
1403,.慈善,generic,Excellent First Limited
1404,.集团,generic,Eagle Horizon Limited
1405,.在线,generic,TLD REGISTRY LIMITED
1406,.한국,country-code,KISA (Korea Internet & Security Agency)
1407,.ଭାରତ,country-code,National Internet eXchange of India
1408,.大众汽车,generic,Not assigned
1409,.点看,generic,VeriSign Sarl
1410,.คอม,generic,VeriSign Sarl
1411,.ভাৰত,country-code,National Internet eXchange of India
1412,.ভারত,country-code,National Internet Exchange of India
1413,.八卦,generic,Zodiac Gemini Ltd
1414,‏.ישראל‎,country-code,The Israel Internet Association (RA)
1415,‏.موقع‎,generic,Helium TLDs Ltd
1416,.বাংলা,country-code,Posts and Telecommunications Division
1417,.公益,generic,China Organizational Name Administration Center
1418,.公司,generic,China Internet Network Information Center(CNNIC)
1419,.香格里拉,generic,Shangri-La International Hotel Management Limited
1420,.网站,generic,Global Website TLD Asia Limited
1421,.移动,generic,Afilias Limited
1422,.我爱你,generic,Tycoon Treasure Limited
1423,.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
1424,.испытание,test,Not assigned
1425,.қаз,country-code,Association of IT Companies of Kazakhstan
1426,.католик,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1427,.онлайн,generic,CORE Association
1428,.сайт,generic,CORE Association
1429,.联通,generic,China United Network Communications Corporation Limited
1430,.срб,country-code,Serbian National Internet Domain Registry (RNIDS)
1431,.бг,country-code,Imena.BG AD
1432,.бел,country-code,Belarusian Cloud Technologies LLC
1433,‏.קום‎,generic,VeriSign Sarl
1434,.时尚,generic,RISE VICTORY LIMITED
1435,.微博,generic,Sina Corporation
1436,.테스트,test,Not assigned
1437,.淡马锡,generic,Temasek Holdings (Private) Limited
1438,.ファッション,generic,"Amazon Registry Services, Inc."
1439,.орг,generic,Public Interest Registry
1440,.नेट,generic,VeriSign Sarl
1441,.ストア,generic,"Amazon Registry Services, Inc."
1442,.アマゾン,generic,"Amazon Registry Services, Inc."
1443,.삼성,generic,"SAMSUNG SDS CO., LTD"
1444,.சிங்கப்பூர்,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1445,.商标,generic,Internet DotTrademark Organisation Limited
1446,.商店,generic,"Binky Moon, LLC"
1447,.商城,generic,Zodiac Aquarius Limited
1448,.дети,generic,The Foundation for Network Initiatives “The Smart Internet”
1449,.мкд,country-code,Macedonian Academic Research Network Skopje
1450,‏.טעסט‎,test,Not assigned
1451,.ею,country-code,EURid vzw
1452,.ポイント,generic,"Amazon Registry Services, Inc."
1453,.新闻,generic,"Guangzhou YU Wei Information and Technology Co.,Ltd"
1454,.工行,generic,Not assigned
1455,.家電,generic,"Amazon Registry Services, Inc."
1456,‏.كوم‎,generic,VeriSign Sarl
1457,.中文网,generic,TLD REGISTRY LIMITED
1458,.中信,generic,CITIC Group Corporation
1459,.中国,country-code,China Internet Network Information Center (CNNIC)
1460,.中國,country-code,China Internet Network Information Center (CNNIC)
1461,.娱乐,generic,"Binky Moon, LLC"
1462,.谷歌,generic,Charleston Road Registry Inc.
1463,.భారత్,country-code,National Internet Exchange of India
1464,.ලංකා,country-code,LK Domain Registry
1465,.電訊盈科,generic,PCCW Enterprises Limited
1466,.购物,generic,"Nawang Heli(Xiamen) Network Service Co., LTD."
1467,.測試,test,Not assigned
1468,.クラウド,generic,"Amazon Registry Services, Inc."
1469,.ભારત,country-code,National Internet Exchange of India
1470,.通販,generic,"Amazon Registry Services, Inc."
1471,.भारतम्,country-code,National Internet eXchange of India
1472,.भारत,country-code,National Internet Exchange of India
1473,.भारोत,country-code,National Internet eXchange of India
1474,‏.آزمایشی‎,test,Not assigned
1475,.பரிட்சை,test,Not assigned
1476,.网店,generic,Zodiac Taurus Ltd.
1477,.संगठन,generic,Public Interest Registry
1478,.餐厅,generic,Internet DotTrademark Organisation Limited
1479,.网络,generic,China Internet Network Information Center(CNNIC)
1480,.ком,generic,VeriSign Sarl
1481,.укр,country-code,"Ukrainian Network Information Centre (UANIC), Inc."
1482,.香港,country-code,Hong Kong Internet Registration Corporation Ltd.
1483,.亚马逊,generic,"Amazon Registry Services, Inc."
1484,.诺基亚,generic,Not assigned
1485,.食品,generic,"Amazon Registry Services, Inc."
1486,.δοκιμή,test,Not assigned
1487,.飞利浦,generic,Koninklijke Philips N.V.
1488,‏.إختبار‎,test,Not assigned
1489,.台湾,country-code,Taiwan Network Information Center (TWNIC)
1490,.台灣,country-code,Taiwan Network Information Center (TWNIC)
1491,.手表,generic,Not assigned
1492,.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd"
1493,.мон,country-code,"Datacom Co.,Ltd"
1494,‏.الجزائر‎,country-code,CERIST
1495,‏.عمان‎,country-code,Telecommunications Regulatory Authority (TRA)
1496,‏.ارامكو‎,generic,Aramco Services Company
1497,‏.ایران‎,country-code,Institute for Research in Fundamental Sciences (IPM)
1498,‏.العليان‎,generic,Crescent Holding GmbH
1499,‏.اتصالات‎,generic,Emirates Telecommunications Corporation (trading as Etisalat)
1500,‏.امارات‎,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA)
1501,‏.بازار‎,generic,CORE Association
1502,‏.موريتانيا‎,country-code,Université de Nouakchott Al Aasriya
1503,‏.پاکستان‎,country-code,National Telecommunication Corporation
1504,‏.الاردن‎,country-code,Ministry of Digital Economy and Entrepreneurship (MoDEE)
1505,‏.موبايلي‎,generic,Not assigned
1506,‏.بارت‎,country-code,National Internet eXchange of India
1507,‏.بھارت‎,country-code,National Internet Exchange of India
1508,‏.المغرب‎,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
1509,‏.ابوظبي‎,generic,Abu Dhabi Systems and Information Centre
1510,‏.البحرين‎,country-code,Telecommunications Regulatory Authority (TRA)
1511,‏.السعودية‎,country-code,Communications and Information Technology Commission
1512,‏.ڀارت‎,country-code,National Internet eXchange of India
1513,‏.كاثوليك‎,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1514,‏.سودان‎,country-code,Sudan Internet Society
1515,‏.همراه‎,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1516,‏.عراق‎,country-code,Communications and Media Commission (CMC)
1517,‏.مليسيا‎,country-code,MYNIC Berhad
1518,.澳門,country-code,Macao Post and Telecommunications Bureau (CTT)
1519,.닷컴,generic,VeriSign Sarl
1520,.政府,generic,"Net-Chinese Co., Ltd."
1521,‏.شبكة‎,generic,International Domain Registry Pty. Ltd.
1522,‏.بيتك‎,generic,Kuwait Finance House
1523,‏.عرب‎,generic,League of Arab States
1524,.გე,country-code,Information Technologies Development Center (ITDC)
1525,.机构,generic,Public Interest Registry
1526,.组织机构,generic,Public Interest Registry
1527,.健康,generic,Stable Tone Limited
1528,.ไทย,country-code,Thai Network Information Center Foundation
1529,‏.سورية‎,country-code,National Agency for Network Services (NANS)
1530,.招聘,generic,Dot Trademark TLD Holding Company Limited
1531,.рус,generic,Rusnames Limited
1532,.рф,country-code,Coordination Center for TLD RU
1533,.珠宝,generic,Not assigned
1534,‏.تونس‎,country-code,Agence Tunisienne d'Internet
1535,.大拿,generic,VeriSign Sarl
1536,.ລາວ,country-code,"Lao National Internet Center (LANIC), Ministry of Technology and Communications"
1537,.みんな,generic,Charleston Road Registry Inc.
1538,.グーグル,generic,Charleston Road Registry Inc.
1539,.ευ,country-code,EURid vzw
1540,.ελ,country-code,ICS-FORTH GR
1541,.世界,generic,Stable Tone Limited
1542,.書籍,generic,"Amazon Registry Services, Inc."
1543,.ഭാരതം,country-code,National Internet eXchange of India
1544,.ਭਾਰਤ,country-code,National Internet Exchange of India
1545,.网址,generic,"KNET Co., Ltd"
1546,.닷넷,generic,VeriSign Sarl
1547,.コム,generic,VeriSign Sarl
1548,.天主教,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1549,.游戏,generic,"Binky Moon, LLC"
1550,.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1551,.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1552,.企业,generic,"Binky Moon, LLC"
1553,.信息,generic,"Beijing Tele-info Network Technology Co., Ltd."
1554,.嘉里大酒店,generic,Kerry Trading Co. Limited
1555,.嘉里,generic,Kerry Trading Co. Limited
1556,‏.مصر‎,country-code,National Telecommunication Regulatory Authority - NTRA
1557,‏.قطر‎,country-code,Communications Regulatory Authority
1558,.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
1559,.இலங்கை,country-code,LK Domain Registry
1560,.இந்தியா,country-code,National Internet Exchange of India
1561,.հայ,country-code,"""Internet Society"" Non-governmental Organization"
1562,.新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1563,‏.فلسطين‎,country-code,Ministry of Telecom & Information Technology (MTIT)
1564,.テスト,test,Not assigned
1565,.政务,generic,China Organizational Name Administration Center
1566,.xperia,generic,Not assigned
1567,.xxx,sponsored,ICM Registry LLC
1568,.xyz,generic,XYZ.COM LLC
1569,.yachts,generic,XYZ.COM LLC
1570,.yahoo,generic,OATH INC
1571,.yamaxun,generic,"Amazon Registry Services, Inc."
1572,.yandex,generic,Yandex Europe B.V.
1573,.ye,country-code,TeleYemen
1574,.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD."
1575,.yoga,generic,"Registry Services, LLC"
1576,.yokohama,generic,"GMO Registry, Inc."
1577,.you,generic,"Amazon Registry Services, Inc."
1578,.youtube,generic,Charleston Road Registry Inc.
1579,.yt,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1580,.yun,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1581,.za,country-code,ZA Domain Name Authority
1582,.zappos,generic,"Amazon Registry Services, Inc."
1583,.zara,generic,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
1584,.zero,generic,"Amazon Registry Services, Inc."
1585,.zip,generic,Charleston Road Registry Inc.
1586,.zippo,generic,Not assigned
1587,.zm,country-code,Zambia Information and Communications Technology Authority (ZICTA)
1588,.zone,generic,"Binky Moon, LLC"
1589,.zuerich,generic,Kanton Zürich (Canton of Zurich)
1590,.zw,country-code,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
